dlMaxRetxThreshold,dlPollByte,dlPollPDU,dlTPollRetr,dlTProhib,dlTReassembly,ulMaxRetxThreshold,ulPollByte,ulPollPDU,ulTPollRetr,ulTProhib,ulTReassembly,id
t16,kB750,p16384,ms400,ms2400,ms120,t32,kB5000,p2048,ms50,ms20,ms100,49bc77864dd535604a3f1bac103ea5bb416ba0cfa6f96817dcf4a9400123f4c5
t8,mB30,p4096,ms190,ms1000,ms35,t16,kB7000,p40960,ms180,ms150,ms120,982d2d557f0257ffbe06b7be2d47e6df844099168425558a651c25e67cffbef7
t8,kB7000,p28672,ms10,ms2000,ms80,t3,kB1000,p6144,ms50,ms170,ms20,b1b13f973feb85a62d9fa2aa8432dd1887222722a2b8ad866862129c07f05715
t6,mB13,p1024,ms200,ms2400,ms60,t16,kB125,p64,ms200,ms80,ms65,6b875c72ec21cea8d5176e323512c9eff95a31d444f9fe506c5e0e469f23c86d
t4,kB1250,p16384,ms30,ms60,ms130,t32,mB14,p64,ms250,ms170,ms120,2f8db94aacd3dca28b6dbfdc8e5654ecc3fada68c04cd1d1f98106f20cded3db
t32,kB500,p16,ms1000,ms80,ms80,t16,kB100,p8,ms200,ms90,ms60,9411d0cd7f50780b9a9354dadd91919b660cc79478929fe7126c34cf1d2eced5
t32,kB4000,p4096,ms1000,ms10,ms45,t2,kB500,p512,ms160,ms300,ms150,b172bada87ef51b01ea603dfd5fc2c69d14abe20887854966d07b84e9ef400bf
t2,kB6500,p4096,ms140,ms1200,ms65,t3,kB4000,p256,ms300,ms350,ms10,a1e10603375d329f6b81298bbfd5886d569444262ec1d6168e18f7d66480dc9b
t6,kB6500,p8192,ms200,ms2400,ms60,t6,mB16,p16384,ms110,ms120,ms80,6e55b67c6b333821ee2f99de9620749e6af1d5e78474ecb7ebdd73c1489dc493
t3,kB2000,p64,ms300,ms140,ms85,t32,kB100,p2048,ms500,ms120,ms160,68a66b396c8aee4b515bc5ad81d9d0b333f3378a5d648eb8b599c51657f57602
t6,kB6000,p16,ms800,ms250,ms45,t16,kB15,p65536,ms70,ms450,ms170,f517caa4888beecbc20c7aa943997c2ab3154e7ebea18cb5c59bb55ae130e443
t2,mB18,p24576,ms500,ms70,ms5,t3,mB40,p8192,ms110,ms50,ms5,08bc554eb7b84fddd9a897153e80c4524cecc1355b121a9d0eddd3df481b1bde
t4,kB8,p16,ms800,ms500,ms140,t3,kB2,p16384,ms120,ms350,ms130,e994927e6ce16bad9e1c64740e90dc3866826e35e1d70b5bdb7cc9855804c1a5
t4,mB20,p20480,ms500,ms40,ms75,t32,kB750,p28672,ms70,ms160,ms80,8b5d15e3da28b7472299075ba0e8abaefd6075f9c78bce5d027ab581f8fbd9bb
t4,mB16,p6144,ms50,ms50,ms75,t32,kB2000,p8192,ms70,ms40,ms90,408016ed7be9dcc3721f5508d6aa2907c8f16f9465dc54168ddf37792728f585
t4,kB750,p256,ms60,ms400,ms70,t2,mB30,p128,ms240,ms190,ms55,863e199f3f33349d00d5e09f05d90802b05cbf0a278c11be6f608e51f0eaac7d
t16,kB75,p6144,ms350,ms110,ms160,t4,mB15,p20480,ms150,ms70,ms60,6d5379a3d19e7619bafea8d737130bfc1135e3081205897cf61e5898395b634f
t3,kB4500,p65536,ms350,ms160,ms160,t16,mB20,p16384,ms150,ms40,ms40,3fefe3eb00140840e5404fed7ca320c4b830b37273779ccfcc41952346be82ed
t6,mB20,p16384,ms80,ms40,ms150,t8,kB125,p2048,ms110,ms10,ms160,0248da82bf3617fd656fc66b47be0e5dece24a41857e97cd0277788ee5f76c2d
t32,mB40,p4096,ms170,ms30,ms150,t2,mB17,p8,ms180,ms30,ms90,cd1dbaad430206ebd35406f6bb36faf1bca859dddc0d5a3f58fd29752f0b2869
t32,kB7000,p24576,ms180,ms90,ms80,t3,mB15,p32768,ms240,ms450,ms50,708fbb05bf863052ead01230be02fa3a1544242f2cb02c305f6181c3cce6105a
t8,kB7000,p4096,ms220,ms90,ms65,t3,kB250,p1024,ms50,ms400,ms80,caf8084fcc8a8c37262259761dc04262374a25369699b55beed39640dad78231
t8,kB15,p57344,ms450,ms120,ms110,t2,kB5500,p8192,ms250,ms80,ms80,b152b35699fef487a56dac6bd55cec8504e253d623e5d101f23194c7527b5218
t2,kB7000,p32768,ms450,ms40,ms200,t3,kB5,p2048,ms170,ms50,ms25,447e9d59cac4a73b826b6d51c8a5029760d0a8944f6d44c9403d4d9237873888
t32,kB6000,p128,ms220,ms2000,ms200,t16,mB14,p1024,ms240,ms1200,ms40,147e3069b2be5cbca84e40cf0e347080d2cc7daa3ec0e70c1d38da44a8b94b09
t32,kB3000,p8,ms170,ms180,ms55,t16,mB12,p256,ms500,ms500,ms40,3010167e4bc422515f3f38acb6bb8a6fb129bfa676719a8214e0791993c02926
t16,kB3000,p28672,ms150,ms1000,ms150,t6,kB10,p512,ms220,ms180,ms200,c42b472f01a9c48b96631c6c0c84257f7ba82293fee298ff486d51f2d2c9f4a1
t16,kB750,p28672,ms190,ms400,ms10,t8,kB4000,p256,ms1000,ms20,ms45,1abd733df8288ff6c9e79a377ab4dfb79587bb48e5ec7847fb98dbd489ab8c25
