dlMaxRetxThreshold,dlPollByte,dlPollPDU,dlTPollRetr,dlTProhib,dlTReassembly,ulMaxRetxThreshold,ulPollByte,ulPollPDU,ulTPollRetr,ulTProhib,ulTReassembly,id
t32,mB40,p57344,ms2000,ms40,ms180,t6,kB100,p8192,ms350,ms150,ms80,87c41f6a8ef57bd6472cdb6a2aa51e39ab4a7c1b270ce9c3a05181e21285a1b3
t32,kB1000,p16,ms400,ms100,ms180,t4,kB6000,p32,ms4000,ms150,ms80,6d67bcb5ba3d6bfeeca117da23764c2cfce5f8688b5e87af9f7b03dd2179f052
t32,kB1000,p32768,ms800,ms100,ms180,t6,mB40,p16384,ms250,ms150,ms120,29d7a4448d59efd1a07ef0fd80471316defe84ab5e50425830dd41698a61dfc5
t3,kB6000,p32768,ms2000,ms100,ms160,t3,mB25,p16384,ms250,ms300,ms200,074e3aa3ec4bced261123b5d619937416e6046da175ab52f7790d1f822083978
t8,kB500,p65536,ms300,ms100,ms40,t3,kB500,p128,ms250,ms200,ms170,e9713dfb8f3fffaedb290a5343fca8fd34e49e39a7a0deea5f017222d8ec8a5e
t2,kB6000,p16384,ms500,ms100,ms40,t6,mB40,p128,ms500,ms2400,ms140,62cd2352e926a4f8892d486239781b0190991643dfaab81ed67577a0204a8eb8
t4,kB1000,p16384,ms1000,ms100,ms80,t8,kB100,p8192,ms500,ms2400,ms180,c5dced0ea0b9d46c0a25a787be7f2770afbd81e5a03d955c9f051dd800e8a7d1
t3,kB500,p32,ms250,ms100,ms140,t8,kB100,p32,ms50,ms40,ms80,0af4a86c2a6bdf19b1ca047623aa9005cab775f1d8fffb0c46a13f9feac23fbf
t4,kB100,p32,ms350,ms300,ms80,t3,mB40,p16,ms400,ms2000,ms140,dea79e1bac0ef699ad532e60de52d86ec8cc742a3ff54d99d0b288f2a17ddb59
t8,mB40,p32,ms150,ms1200,ms10,t8,kB100,p49152,ms50,ms60,ms40,7090887255af79997da9c5ce44f572117fb9d43404a0f411264e29ece21bb505
t32,mB16,p49152,ms200,ms2400,ms180,t4,mB40,p32768,ms1000,ms800,ms40,300166fdd0070213a1b5b85c551afa62ac6797c5521abce929dee1566f690b01
t4,mB16,p128,ms800,ms200,ms180,t32,kB100,p512,ms1000,ms100,ms160,ce03212ff8aafe800971e0d7a63097e73837eae3ab99c8f3e45f3a2f9d00caea
t4,mB30,p128,ms100,ms20,ms100,t3,kB25,p512,ms400,ms1200,ms10,e68b6e043e28d9915d506f3355e5a5bbccf5640f20f6382b947442a5f8055cab
t8,kB100,p8192,ms100,ms1200,ms160,t2,kB8,p512,ms350,ms80,ms140,eb93d456e3ae9de366ff375e1a8397337f2ac39f146508066365cbb48f7afe8b
t6,mB30,p8192,ms150,ms80,ms5,t2,mB30,p128,ms2000,ms150,ms80,8c4bd9f66d1ad65df1fa6ae89d62391bd88953af093b687e490c733ffbe2f8dc
t3,mB8,p16384,ms2000,ms20,ms100,t6,kB100,p49152,ms1000,ms2000,ms20,ad7ec457b46ef1903f99707bd9abebdeaf7054adaadca769793c5ca66a83e78f
t8,mB20,p16384,ms200,ms100,ms180,t16,mB16,p128,ms200,ms150,ms140,e63427abe9e09e64940d8843f7a435f432e4b1e7d91ca77a145b4fd5359483c9
