dlMaxRetxThreshold,dlPollByte,dlPollPDU,dlTPollRetr,dlTProhib,dlTReassembly,ulMaxRetxThreshold,ulPollByte,ulPollPDU,ulTPollRetr,ulTProhib,ulTReassembly,id
t32,kB8,p16,ms500,ms80,ms5,t32,kB100,p16384,ms300,ms80,ms60,8fe5d0bdaf072a46e4744d69203bfc3991e03bc526c9088eb75b2e9f73e25b60
t8,kB100,p16,ms400,ms300,ms5,t2,mB16,p16384,ms100,ms500,ms60,2b138c442d55aa9bf70ee6e13a46c9063d1ff97c8814c93d961e01198125aa52
t3,kB500,p512,ms300,ms200,ms170,t8,mB16,p65536,ms1000,ms80,ms5,a05aea8e7894eebd298540bf1c967031ed7760ed2e89e19c6011a10180983f7e
t2,kB500,p65536,ms4000,ms150,ms100,t6,kB25,p32768,ms800,ms100,ms5,ce4fc0bb7c071489513765a10e013ec0cb8c28dc3b9a0826c8cdc7449b2a7b18
t4,kB6000,p40960,ms2000,ms2000,ms10,t3,kB8,p16384,ms800,ms40,ms80,162b48ca652cef181a71c142c914fdcea72d7f256b4fa0f2c42d2ec0a83b9bc3
t8,kB8,p8192,ms1000,ms20,ms200,t2,kB1000,p49152,ms350,ms20,ms5,5090d4f543889937776dad3ca0c1be4766f6852f640b49d5e3b1e53a18612430
t3,mB25,p128,ms400,ms40,ms40,t3,kB100,p512,ms4000,ms800,ms200,3052319d394d66c45bd95e4315c93de13bbf0eb0b5caf52e080c5e629e5785e1
t8,kB500,p57344,ms2000,ms80,ms60,t16,kB100,p512,ms400,ms2400,ms160,ea6883123901f847180b0df2059e7a59760f736631d6db142e5cd066a02482fd
t32,kB500,p65536,ms300,ms800,ms180,t2,mB30,p32,ms400,ms60,ms200,0086eac4a055c95cf7557b0f049d6ffca245ad2ec57eef1033c40578f0b990f4
t32,kB8,p128,ms400,ms20,ms20,t3,kB500,p32,ms200,ms200,ms40,62b8e54b14dd6963724abba7bb8c6d1208159fe3d8ba4a9fb2694790c60136ea
t4,kB8,p57344,ms400,ms1200,ms170,t3,kB500,p32,ms800,ms200,ms20,17a073157f96a1da541f78467d3cebe1cc45a01146b9c4650947e36521ecd828
t2,mB8,p65536,ms500,ms80,ms20,t6,kB25,p57344,ms1000,ms20,ms60,d716f14b6ab95f617e37c38f4a35f2e6b3e0545ea63ac1e93db9c746ba3d3013
t6,mB20,p32768,ms500,ms2400,ms20,t32,kB25,p65536,ms1000,ms60,ms140,7014f2ab204d118ec56dfab62ee9013424deafd00e3a6df41cd6de3f75abc52d
t3,mB30,p40960,ms200,ms200,ms10,t32,kB25,p32,ms150,ms20,ms140,8b69ebcc35cb318e48ba1618dac7405d007fe20c432e9df89357df058228d61e
t6,kB6000,p512,ms200,ms2400,ms180,t4,kB8,p49152,ms4000,ms60,ms120,d614d31790828d418afb6a682da88bd4270b248d24580399e27f3ca4ffa2905d
t6,kB6000,p512,ms200,ms2000,ms160,t32,mB8,p40960,ms400,ms150,ms80,64bf28b253aa3ad6431ac40fcc573c79fab3ddd3d0587d4488720d66d9daf79e
t3,kB100,p40960,ms800,ms2000,ms180,t32,kB25,p40960,ms400,ms2000,ms180,40d0cd2c916746ca7e94947cb1ab315c557bb3faf35c7ca8aee2ee1171349fea
t4,kB500,p32,ms250,ms1200,ms170,t16,kB100,p128,ms2000,ms500,ms10,cd882aaea80f7d5d18d2978d19ee78e745e9aafdd7d2df39447e65ab065c3337
t2,kB6000,p512,ms2000,ms2400,ms60,t4,kB1000,p49152,ms500,ms20,ms20,46cf451e7c2ef0fb0b5cb17145674dc84b62e71bac40e1eee780a6231dbff7c4
t6,mB8,p4096,ms200,ms150,ms5,t4,kB8,p16384,ms350,ms800,ms200,4c764a7fd77ac7cb7c2eb431c1b9fa962054b81cb29428715765c91d5ae58eab
t2,mB20,p49152,ms500,ms150,ms5,t4,kB100,p4096,ms100,ms2000,ms140,b482950f6af6fac9c3a8ee9013ff9e99e49126aaf4b663ba382b3049ab23b862
t6,mB30,p512,ms300,ms500,ms170,t4,mB16,p4096,ms300,ms2000,ms100,919e7c92ef0d0247cace7e74b1f3ec10917dae3795f9e88be70696e292eb8bfb
t4,kB6000,p49152,ms150,ms200,ms170,t32,kB1000,p4096,ms150,ms150,ms80,51adf98280d96f7cc4afe6da01b68f54c3d78a6c1d385bce80bde76550948e82
t3,kB6000,p4096,ms50,ms500,ms120,t2,mB20,p128,ms150,ms100,ms100,da16bcf6910278441af0c2d6ec0ad8c6f053e56893f4f5c9d018c41363279863
t6,kB8,p16384,ms800,ms500,ms10,t8,kB1000,p49152,ms100,ms150,ms40,da30266920e1bfee2d584205ef3447c5a0de7c368900fa1cb681ad3444fdccb0
t32,mB16,p40960,ms150,ms100,ms5,t16,kB25,p49152,ms1000,ms100,ms100,44cdbdf20cde838bcf7f650e880e745349c5a8d4b35c988d81670b167a541570
t8,mB16,p16,ms200,ms500,ms170,t2,kB25,p16384,ms500,ms300,ms40,c9d802293fbe9177a4e196a323a7ada9c99543512c9f603ada905ba5159878ad
t2,kB6000,p8192,ms4000,ms40,ms180,t8,kB500,p49152,ms350,ms150,ms40,70b999ec9aaac50461262817bc7fbcc8fecea318f962f91d154d3ba3e9851866
t6,kB25,p57344,ms100,ms2000,ms120,t8,mB16,p49152,ms800,ms60,ms200,3d1d61158229322e8830df7e5a072e3bc503428dee10213f0097c9bfc8ec3c4f
t2,kB8,p65536,ms50,ms500,ms160,t8,kB8,p512,ms100,ms40,ms60,33a5f42e4513c4b2aacbaeb60355e4faafe15077c77024626c3a6cc65d7c45f4
t6,kB500,p65536,ms200,ms500,ms80,t2,mB20,p32768,ms200,ms40,ms10,922328989b84ab6c3e4c541daa72b0b40353bb05b8e5f9b7fecc16aa9ea0d273
t6,mB40,p16,ms400,ms500,ms40,t3,kB100,p57344,ms300,ms60,ms20,f428d8aa8a9c2d9eb4d49fc5be57c110da80ff74a64cd61e958e8e77fc8af929
t6,kB8,p128,ms800,ms300,ms160,t6,kB100,p49152,ms300,ms500,ms140,53967b0b51f45e0b91a48bd440a35fe5fb689c0336cbbdb5214f283ddeacf047
t32,kB1000,p128,ms150,ms80,ms160,t6,mB16,p512,ms150,ms100,ms140,c0b167b834f872d3a608489042fa1f7933044b27ac48bbdb3954127f90e7e648
t16,kB25,p4096,ms500,ms60,ms160,t2,mB16,p49152,ms150,ms150,ms20,b0c364fad0ee5da052a922b2ecd5980db3cfbe64f106277c94a3b9b5a35da792
t2,kB6000,p128,ms200,ms300,ms180,t4,kB8,p49152,ms150,ms40,ms170,bbe567abf2b71256a59cbab0fc984041782939e7f83577141fb052b57fc2b1d8
t3,kB25,p8192,ms200,ms300,ms80,t32,mB30,p16384,ms1000,ms2400,ms40,82abc21ed0e4d22c46d4cc3d722baa531a43298eb5ad66f60402390bd88cb713
t6,mB8,p128,ms350,ms300,ms160,t32,kB100,p65536,ms2000,ms200,ms100,54476ed27c6d2ae6f8912de92173277d8eecaa15b3c5933811c87b98d0c952bc
t2,mB20,p49152,ms500,ms150,ms200,t8,kB6000,p16384,ms100,ms20,ms100,51e94a75bd168d4410589df9e8f3baea6181509d88ea0374389f7dbe03d8c8f3
t32,mB16,p40960,ms800,ms20,ms120,t8,kB6000,p57344,ms250,ms20,ms160,cb9c2d1b7c85eda2da9609f73372b67156df6d50682ccb86f699bfcab68a7f57
t32,mB16,p8192,ms50,ms800,ms180,t16,kB25,p8192,ms4000,ms150,ms160,410fe0a5b1527292becad81a23b40696d3ef2bfd6ca6ab70de027179c0fc13c5
t2,mB25,p32768,ms800,ms800,ms20,t16,mB8,p8192,ms150,ms80,ms80,054d14fcab7e529cdeb7e4b6b338087a63ac99a41236b75622b461c85395c18f
t2,mB40,p16384,ms400,ms60,ms10,t8,mB16,p128,ms100,ms2400,ms140,0a898bd645c5c6d3046766f0dae5c4048d12343e6e2fb09900cf748dfc801961
t8,kB500,p512,ms200,ms500,ms60,t16,mB30,p512,ms4000,ms1200,ms200,5a8f5ae885e450c35bc9f7249aa5409c9efd8e71c1fbd9fec9e93acbb3eed192
t8,kB6000,p65536,ms400,ms2400,ms140,t8,mB25,p512,ms2000,ms800,ms60,bfa3f2a74851b35259b02d81836cb9edf0e7f46104a17fbb0dd5d668bdaae0ab
t16,kB6000,p40960,ms2000,ms1200,ms60,t4,kB6000,p8192,ms4000,ms1200,ms120,9c6d35c52183685ee373dfbc96c3458f558426819c3eb682dcc0763db4ee11bf
t8,kB6000,p16,ms350,ms2000,ms5,t4,mB25,p512,ms4000,ms1200,ms100,655ff89a55b5dc60a0fd29c8c6e8e4dd289902ae1c407f667c0d6721bb9991e1
t4,kB500,p8192,ms800,ms100,ms40,t6,mB16,p128,ms300,ms40,ms60,295c59606231498bb6bce188a5ad0626be30b443f8babbfb36849f80c92631d4
t3,mB8,p4096,ms300,ms200,ms140,t6,kB1000,p16,ms150,ms800,ms180,1e33675cc3adfb502ffc5fa2981ef240647fb725145797a866092958b2d1fc61
t8,kB8,p128,ms300,ms500,ms160,t16,mB25,p16384,ms4000,ms80,ms180,f1fa5b01bf40556c9ff07b74b705dcad4d7d4998310788f00bef6fecfdbf3dfc
t16,mB25,p16384,ms300,ms40,ms10,t16,kB100,p16384,ms800,ms150,ms160,69d7d7d2c33f8278af4742c43308b68ed29216a7582f3a3bf355dcab09f51af5
t16,kB100,p57344,ms800,ms20,ms200,t16,mB25,p16,ms100,ms200,ms180,fe8db6a5b99d4082071abcc5b246301019e739af7dde6840fdcb01c22018450c
t2,mB30,p65536,ms300,ms80,ms10,t16,mB25,p8192,ms150,ms1200,ms60,c48d03ae2184ba525819a63219bf7df385825a5371abfee4f8d4bd00c09390e9
